sales_rep_id,market_id,rep_name,tenure
REP-DE-000001,1,Cesare Gregori,2
REP-DE-000002,1,Carol Elliott-Sutton,1
REP-DE-000003,1,Patrizia Callegaro,2
REP-DE-000004,1,Greca Fittipaldi,2
REP-DE-000005,1,Romy Herbst,2
REP-DE-000006,1,Bayram Tschentscher,2
REP-DE-000007,1,Univ.Prof. Zoey Ackerl,2
REP-DE-000008,1,Dr. Nino Kain,2
REP-DE-000009,1,Valentin Rosenow B.A.,2
REP-DE-000010,1,Mr Abdul Parkin,1
REP-DE-000011,1,Stilla Pechel,1
REP-DE-000012,1,Gustav Peham,2
REP-DE-000013,1,Dott. Paloma Monte,1
REP-DE-000014,1,Dr Ross Green,1
REP-DE-000015,1,Prof. Fabio Hubmann,1
REP-DE-000016,1,Lucy Rhodes,1
REP-DE-000017,1,Antonia Bruscantini,1
REP-DE-000018,1,Karen Gray,2
REP-DE-000019,1,Prof. Kristina Neumüller,1
REP-DE-000020,1,Mr Declan Wright,2
REP-DE-000021,1,Klara Lindinger,2
REP-DE-000022,1,Louisa Dengg-Kahr,1
REP-DE-000023,1,Prof. Magarete Käster B.A.,1
REP-DE-000024,1,Abigail Hardy,2
REP-DE-000025,1,Ms Zoe Pickering,2
REP-DE-000026,1,Remo Fiebig,2
REP-DE-000027,1,Jemma Thomson,2
REP-DE-000028,1,Burkhardt Schuster,1
REP-DE-000029,1,Gerard Baldwin,2
REP-DE-000030,1,Sarina Drub,1
REP-DE-000031,1,Eberhard Gorlitz,2
REP-DE-000032,1,Dr. Mona Bolander B.Sc.,1
REP-GB-000001,2,Caroline Uhl,2
REP-GB-000002,2,Gianfrancesco Bonino,2
REP-GB-000003,2,Sig. Filippo Binaghi,1
REP-GB-000004,2,Marko Eder,2
REP-GB-000005,2,Finn Klein,2
REP-GB-000006,2,Emilia Schlosser,1
REP-GB-000007,2,Mr Declan Steele,1
REP-GB-000008,2,Miss Elizabeth Anderson,2
REP-GB-000009,2,Emma Arnold-Mann,1
REP-GB-000010,2,Rachel Jahn,2
REP-GB-000011,2,Stefani Gregori,2
REP-GB-000012,2,Leigh Brown,2
REP-GB-000013,2,Nadja Bien,2
REP-GB-000014,2,Gino Sommaruga,2
REP-GB-000015,2,Giovanna Oliboni,1
REP-GB-000016,2,Dean McCarthy-Carroll,2
REP-GB-000017,2,Konstantin Gröttner,1
REP-GB-000018,2,Gino Garobbio,2
REP-GB-000019,2,Sophia Wiedner,2
REP-GB-000020,2,Josef Werner,2
REP-GB-000021,2,Anita Fürst-Lercher,2
REP-GB-000022,2,Mechtild Franke,1
REP-GB-000023,2,Nisa Zeller,2
REP-GB-000024,2,Ivan Junk,1
REP-IT-000001,3,Annalisa Prada,1
REP-IT-000002,3,Elliott Robinson,2
REP-IT-000003,3,Suzanne Wells,2
REP-IT-000004,3,Herr Emil Artner,1
REP-IT-000005,3,Dragan Drubin,2
REP-IT-000006,3,Dr Bradley Holmes,1
REP-IT-000007,3,Jenna Davis,2
REP-IT-000008,3,Aylin Bachmann-Hofinger,1
REP-IT-000009,3,Sven Hell,1
REP-IT-000010,3,Elliot Warren,1
REP-IT-000011,3,Ermanno Ligorio,1
REP-IT-000012,3,Aloys Haering,1
REP-IT-000013,3,Greca Ovadia,2
REP-IT-000014,3,Univ.Prof. Mareen Mielcarek MBA.,2
REP-IT-000015,3,Eleanora Foletti,1
REP-IT-000016,3,Laura Amann,1
REP-AT-000001,4,Abigail Shepherd,1
REP-AT-000002,4,Dott. Irma Barcaccia,2
REP-AT-000003,4,Catrin Fischer,2
REP-AT-000004,4,Sig. Domenico Magnani,1
REP-AT-000005,4,Univ.Prof. Editha Biggen B.Eng.,2
REP-AT-000006,4,Mr Derek Ahmed,1
REP-AT-000007,4,Pierluigi Canova-Calbo,1
REP-AT-000008,4,Lina Urban,2
